name,description,height,weight,gender,category,abilities,type,weakness
Qwilfish,"Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.","1' 08""",8.6 lbs,,Balloon,Poison Point,"Water,Poison","Psychic,Electric,Ground"
Scizor,"Once it has identified something as an enemy, it will continue beating them with its steel-hard pincers until there's nothing left but scraps.","5' 11""",260.1 lbs,,Pincer,Swarm,"Bug,Steel",Fire
Shuckle,"Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.","2' 00""",45.2 lbs,,Mold,Sturdy,"Bug,Rock","Steel,Water,Rock"
Heracross,"It roams through forests searching for sweet nectar. Although it boasts fantastic physical strength, it's not that good at flying.","4' 11""",119.0 lbs,,Single Horn,Swarm,"Bug,Fighting","Fire,Psychic,Flying,Fairy"
Sneasel,"It blends into the dark of night to ambush its prey. Sneasel will attack Sandshrew, but its hard skin can cause Sneasel's claws to snap off.","2' 11""",61.7 lbs,,Sharp Claw,Keen Eye,"Dark,Ice","Steel,Fire,Fighting,Rock,Fairy,Bug"
Teddiursa,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,"2' 00""",19.4 lbs,,Little Bear,Pickup,Normal,Fighting
Ursaring,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.","5' 11""",277.3 lbs,,Hibernator,Guts,Normal,Fighting
Slugma,"Slugma does not have any blood in its body. Instead, intensely hot magma circulates throughout this Pokémon's body, carrying essential nutrients and oxygen to its organs.","2' 04""",77.2 lbs,,Lava,Flame Body,Fire,"Water,Ground,Rock"
Magcargo,"Magcargo's body temperature is approximately 18,000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog.","2' 07""",121.3 lbs,,Lava,Flame Body,"Fire,Rock","Water,Ground,Fighting,Rock"
Swinub,Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.,"1' 04""",14.3 lbs,,Pig,Oblivious,"Ice,Ground","Steel,Fire,Grass,Water,Fighting"
Piloswine,Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.,"3' 07""",123.0 lbs,,Swine,Oblivious,"Ice,Ground","Steel,Fire,Grass,Water,Fighting"
Corsola,"In Alola, where their natural enemies Mareanie are plentiful, many Corsola have stubby branches on their heads.","2' 00""",11.0 lbs,,Coral,Natural Cure,"Water,Rock","Grass,Electric,Fighting,Ground"
Remoraid,"Also known as the ""sniper of the seas,"" its water gun can hit prey without fail from over 300 feet away.","2' 00""",26.5 lbs,,Jet,Sniper,Water,"Grass,Electric"
Octillery,It usually sleeps in caves. The pitch-black ink that Octillery spits is also used for cooking.,"2' 11""",62.8 lbs,,Jet,Sniper,Water,"Grass,Electric"
Delibird,It wraps food in its tail to carry it around. The Delibird with the biggest tail is the boss of the flock!,"2' 11""",35.3 lbs,,Delivery,Vital Spirit,"Ice,Flying","Steel,Fire,Electric,Rock"
Mantine,Many people have taken up surfing because they admire how magnificently Mantine swims.,"6' 11""",485.0 lbs,,Kite,Water Absorb,"Water,Flying","Electric,Rock"
Skarmory,"Its body is draped in steel armor. It looks heavy, but it can fly at speeds of up to 185 miles an hour!","5' 07""",111.3 lbs,,Armor Bird,Keen Eye,"Steel,Flying","Fire,Electric"
Houndour,They make repeated eerie howls before dawn to call attention to their pack.,"2' 00""",23.8 lbs,,Dark,Flash Fire,"Dark,Fire","Water,Ground,Fighting,Rock"
Houndoom,"Identifiable by its eerie howls, people a long time ago thought it was the grim reaper and feared it.","4' 07""",77.2 lbs,,Dark,Flash Fire,"Dark,Fire","Water,Ground,Fighting,Rock"
Kingdra,"Kingdra sleeps on the seafloor where it is otherwise devoid of life. When a storm arrives, the Pokémon is said to awaken and wander about in search of prey.","5' 11""",335.1 lbs,,Dragon,Swift Swim,"Water,Dragon","Fairy,Dragon"
Phanpy,"Phanpy uses its long nose to shower itself. When others gather around, they thoroughly douse each other with water. These Pokémon can be seen drying their soaking-wet bodies at the edge of water.","1' 08""",73.9 lbs,,Long Nose,Pickup,Ground,"Water,Grass,Ice"
Donphan,"If Donphan were to tackle with its hard body, even a house could be destroyed. Using its massive strength, the Pokémon helps clear rock and mud slides that block mountain trails.","3' 07""",264.6 lbs,,Armor,Sturdy,Ground,"Water,Grass,Ice"
Porygon2,"Even though it doesn't die in the vacuum of space, it can't move around very well in zero gravity.","2' 00""",71.7 lbs,"
    Unknown
                ",Virtual,Trace,Normal,Fighting
Stantler,"Stantler's magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers.","4' 07""",157.0 lbs,,Big Horn,Intimidate,Normal,Fighting
Smeargle,"It draws symbols with the fluid that oozes from the tip of its tail. Depending on the symbol, Smeargle fanatics will pay big money for them.","3' 11""",127.9 lbs,,Painter,Technician,Normal,Fighting
Tyrogue,"Tyrogue becomes stressed out if it does not get to train every day. When raising this Pokémon, the Trainer must establish and uphold various training methods.","2' 04""",46.3 lbs,,Scuffle,Guts,Fighting,"Psychic,Flying,Fairy"
Hitmontop,"Hitmontop spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking.","4' 07""",105.8 lbs,,Handstand,Intimidate,Fighting,"Psychic,Flying,Fairy"
Smoochum,"Highly perceptive sensors, Smoochum's lips are kept moist by its daily application of tree sap.","1' 04""",13.2 lbs,,Kiss,Oblivious,"Ice,Psychic","Steel,Ghost,Fire,Dark,Rock,Bug"
Elekid,"When its horns shine a bluish white, that's the sign it's fully charged. You'll get a shocking jolt if you touch it!","2' 00""",51.8 lbs,,Electric,Static,Electric,Ground
Magby,"Its body temperature is always around 1,100 degrees Fahrenheit. If Magby falls into a small- enough pond, the whole thing will dry up.","2' 04""",47.2 lbs,,Live Coal,Flame Body,Fire,"Water,Ground,Rock"
Miltank,"Its milk is delicious and chock-full of nutrients. However, if you drink too much, it could make your stomach hurt, so be careful.","3' 11""",166.4 lbs,,Milk Cow,Thick Fat,Normal,Fighting
Blissey,"This Pokémon is overflowing with love. Only Chansey that share a strong bond with their Trainer can evolve, so people say.","4' 11""",103.2 lbs,,Happiness,Natural Cure,Normal,Fighting
Raikou,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.,"6' 03""",392.4 lbs,"
    Unknown
                ",Thunder,Pressure,Electric,Ground
Entei,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.,"6' 11""",436.5 lbs,"
    Unknown
                ",Volcano,Pressure,Fire,"Water,Ground,Rock"
Suicune,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.,"6' 07""",412.3 lbs,"
    Unknown
                ",Aurora,Pressure,Water,"Grass,Electric"
Larvitar,"Raised on nutrients it finds in the dirt, it eats roughly a mountain's worth of dirt before it becomes a pupa.","2' 00""",158.7 lbs,,Rock Skin,Guts,"Rock,Ground","Steel,Fighting,Water,Ice,Grass,Ground"
Pupitar,"This dangerous pupa thrashes about. Its shell is as hard as bedrock, containing its gradually forming new body within.","3' 11""",335.1 lbs,,Hard Shell,Shed Skin,"Rock,Ground","Steel,Fighting,Water,Ice,Grass,Ground"
Tyranitar,"This Pokémon is a mobile disaster, leaving mountains crumbled and houses destroyed in its wake.","6' 07""",445.3 lbs,,Armor,Sand Stream,"Rock,Dark","Steel,Fighting,Water,Fairy,Grass,Bug,Ground"
Lugia,"Lugia's wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea.","17' 01""",476.2 lbs,"
    Unknown
                ",Diving,Pressure,"Psychic,Flying","Ghost,Dark,Electric,Ice,Rock"
Ho-Oh,Ho-Oh's feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.,"12' 06""",438.7 lbs,"
    Unknown
                ",Rainbow,Pressure,"Fire,Flying","Water,Electric,Rock"
Celebi,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us.","2' 00""",11.0 lbs,"
    Unknown
                ",Time Travel,Natural Cure,"Psychic,Grass","Ghost,Fire,Flying,Ice,Dark,Poison,Bug"
Treecko,"Treecko is cool, calm, and collected—it never panics under any situation. If a bigger foe were to glare at this Pokémon, it would glare right back without conceding an inch of ground.","1' 08""",11.0 lbs,,Wood Gecko,Overgrow,Grass,"Fire,Flying,Ice,Poison,Bug"
Grovyle,"This Pokémon adeptly flies from branch to branch in trees. In a forest, no Pokémon can ever hope to catch a fleeing Grovyle however fast they may be.","2' 11""",47.6 lbs,,Wood Gecko,Overgrow,Grass,"Fire,Flying,Ice,Poison,Bug"
Sceptile,Sceptile has seeds growing on its back. They are said to be bursting with nutrients that revitalize trees. This Pokémon raises the trees in a forest with loving care.,"5' 07""",115.1 lbs,,Forest,Overgrow,Grass,"Fire,Flying,Ice,Poison,Bug"
Torchic,Torchic has a place inside its body where it keeps its flame. Give it a hug—it will be glowing with warmth. This Pokémon is covered all over by a fluffy coat of down.,"1' 04""",5.5 lbs,,Chick,Blaze,Fire,"Water,Ground,Rock"
Combusken,Combusken battles with the intensely hot flames it spews from its beak and with outstandingly destructive kicks. This Pokémon's cry is very loud and distracting.,"2' 11""",43.0 lbs,,Young Fowl,Blaze,"Fire,Fighting","Water,Psychic,Flying,Ground"
Blaziken,Blaziken has incredibly strong legs—it can easily clear a 30-story building in one leap. This Pokémon's blazing punches leave its foes scorched and blackened.,"6' 03""",114.6 lbs,,Blaze,Blaze,"Fire,Fighting","Water,Psychic,Flying,Ground"
Mudkip,"In water, Mudkip breathes using the gills on its cheeks. If it is faced with a tight situation in battle, this Pokémon will unleash its amazing power—it can crush rocks bigger than itself.","1' 04""",16.8 lbs,,Mud Fish,Torrent,Water,"Grass,Electric"
Marshtomp,"Marshtomp is much faster at traveling through mud than it is at swimming. This Pokémon's hindquarters exhibit obvious development, giving it the ability to walk on just its hind legs.","2' 04""",61.7 lbs,,Mud Fish,Torrent,"Water,Ground",Grass
Swampert,"Swampert predicts storms by sensing subtle differences in the sounds of waves and tidal winds with its fins. If a storm is approaching, it piles up boulders to protect itself.","4' 11""",180.6 lbs,,Mud Fish,Torrent,"Water,Ground",Grass
Poochyena,Poochyena is an omnivore—it will eat anything. A distinguishing feature is how large its fangs are compared to its body. This Pokémon tries to intimidate its foes by making the hair on its tail bristle out.,"1' 08""",30.0 lbs,,Bite,Run Away,Dark,"Fairy,Bug,Fighting"
Mightyena,Mightyena travel and act as a pack in the wild. The memory of its life in the wild compels the Pokémon to obey only those Trainers that it recognizes to possess superior skill.,"3' 03""",81.6 lbs,,Bite,Intimidate,Dark,"Fairy,Bug,Fighting"
Zigzagoon,The hair on Zigzagoon's back is bristly. It rubs the hard back hair against trees to leave its territorial markings. This Pokémon may play dead to fool foes in battle.,"1' 04""",38.6 lbs,,Tiny Raccoon,Pickup,Normal,Fighting
Linoone,"When hunting, Linoone will make a beeline straight for the prey at a full run. While this Pokémon is capable of topping 60 mph, it has to come to a screeching halt before it can turn.","1' 08""",71.7 lbs,,Rushing,Pickup,Normal,Fighting
Wurmple,Wurmple is targeted by Swellow as prey. This Pokémon will try to resist by pointing the spikes on its rear at the attacking predator. It will weaken the foe by leaking poison from the spikes.,"1' 00""",7.9 lbs,,Worm,Shield Dust,Bug,"Fire,Flying,Rock"
Silcoon,"Silcoon was thought to endure hunger and not consume anything before its evolution. However, it is now thought that this Pokémon slakes its thirst by drinking rainwater that collects on its silk.","2' 00""",22.0 lbs,,Cocoon,Shed Skin,Bug,"Fire,Flying,Rock"
Beautifly,"Beautifly has a long mouth like a coiled needle, which is very convenient for collecting pollen from flowers. This Pokémon rides the spring winds as it flits around gathering pollen.","3' 03""",62.6 lbs,,Butterfly,Swarm,"Bug,Flying","Fire,Flying,Electric,Ice,Rock"
Cascoon,"If it is attacked, Cascoon remains motionless however badly it may be hurt. It does so because if it were to move, its body would be weak upon evolution. This Pokémon will also not forget the pain it endured.","2' 04""",25.4 lbs,,Cocoon,Shed Skin,Bug,"Fire,Flying,Rock"
Dustox,"When Dustox flaps its wings, a fine dust is scattered all over. This dust is actually a powerful poison that will even make a pro wrestler sick. This Pokémon searches for food using its antennae like radar.","3' 11""",69.7 lbs,,Poison Moth,Shield Dust,"Bug,Poison","Fire,Psychic,Flying,Rock"
Lotad,"Lotad is said to have dwelled on land before. However, this Pokémon is thought to have returned to water because the leaf on its head grew large and heavy. It now lives by floating atop the water.","1' 08""",5.7 lbs,,Water Weed,Swift Swim,"Water,Grass","Flying,Bug,Poison"
Lombre,"Lombre's entire body is covered by a slippery, slimy film. It feels horribly unpleasant to be touched by this Pokémon's hands. Lombre is often mistaken for a human child.","3' 11""",71.7 lbs,,Jolly,Swift Swim,"Water,Grass","Flying,Bug,Poison"
Ludicolo,"Upon hearing an upbeat and cheerful rhythm, the cells in Ludicolo's body become very energetic and active. Even in battle, this Pokémon will exhibit an amazing amount of power.","4' 11""",121.3 lbs,,Carefree,Swift Swim,"Water,Grass","Flying,Bug,Poison"
Seedot,Seedot looks exactly like an acorn when it is dangling from a tree branch. It startles other Pokémon by suddenly moving. This Pokémon polishes its body once a day using leaves.,"1' 08""",8.8 lbs,,Acorn,Chlorophyll,Grass,"Fire,Flying,Ice,Poison,Bug"
Nuzleaf,This Pokémon pulls out the leaf on its head and makes a flute with it. The sound of Nuzleaf's flute strikes fear and uncertainty in the hearts of people lost in a forest.,"3' 03""",61.7 lbs,,Wily,Chlorophyll,"Grass,Dark","Ice,Fire,Flying,Poison,Fighting,Fairy,Bug"
Shiftry,Shiftry's large fans generate awesome gusts of wind at a speed close to 100 feet per second. The whipped-up wind blows anything away. This Pokémon chooses to live quietly deep in forests.,"4' 03""",131.4 lbs,,Wicked,Chlorophyll,"Grass,Dark","Ice,Fire,Flying,Poison,Fighting,Fairy,Bug"
Taillow,"Taillow is young—it has only just left its nest. As a result, it sometimes becomes lonesome and cries at night. This Pokémon feeds on Wurmple that live in forests.","1' 00""",5.1 lbs,,Tiny Swallow,Guts,"Normal,Flying","Electric,Ice,Rock"
Swellow,"Swellow is very conscientious about the upkeep of its glossy wings. Once two Swellow are gathered, they diligently take care of cleaning each other's wings.","2' 04""",43.7 lbs,,Swallow,Guts,"Normal,Flying","Electric,Ice,Rock"
Wingull,It builds nests in cliffs by the sea. It circles the skies above the ocean looking for its favorite food—Wishiwashi.,"2' 00""",20.9 lbs,,Seagull,Keen Eye,"Water,Flying","Electric,Rock"
Pelipper,It scoops up Wishiwashi in its huge beak and swallows them whole. It can devour more than 30 at one go!,"3' 11""",61.7 lbs,,Water Bird,Keen Eye,"Water,Flying","Electric,Rock"
Ralts,"Ralts has the ability to sense the emotions of people. If its Trainer is in a cheerful mood, this Pokémon grows cheerful and joyous in the same way.","1' 04""",14.6 lbs,,Feeling,Synchronize,"Psychic,Fairy","Ghost,Steel,Poison"
Kirlia,"Kirlia uses the horns on its head to amplify its psychokinetic power. When the Pokémon uses its power, the air around it becomes distorted, creating mirages of nonexistent scenery.","2' 07""",44.5 lbs,,Emotion,Synchronize,"Psychic,Fairy","Ghost,Steel,Poison"
Gardevoir,Gardevoir has the psychokinetic power to distort the dimensions and create a small black hole. This Pokémon will try to protect its Trainer even at the risk of its own life.,"5' 03""",106.7 lbs,,Embrace,Synchronize,"Psychic,Fairy","Ghost,Steel,Poison"
Surskit,"It lives in ponds and marshes that feature lots of plant life. It often fights with Dewpider, whose habitat and diet are similar.","1' 08""",3.7 lbs,,Pond Skater,Swift Swim,"Bug,Water","Flying,Electric,Rock"
Masquerain,"Its thin, winglike antennae are highly absorbent. It waits out rainy days in tree hollows.","2' 07""",7.9 lbs,,Eyeball,Intimidate,"Bug,Flying","Fire,Flying,Electric,Ice,Rock"
Shroomish,"If Shroomish senses danger, it shakes its body and scatters spores from the top of its head. This Pokémon's spores are so toxic, they make trees and weeds wilt.","1' 04""",9.9 lbs,,Mushroom,Effect Spore,Grass,"Fire,Flying,Ice,Poison,Bug"
Breloom,The seeds ringing Breloom's tail are made of hardened toxic spores. It is horrible to eat the seeds. Just taking a bite of this Pokémon's seed will cause your stomach to rumble.,"3' 11""",86.4 lbs,,Mushroom,Effect Spore,"Grass,Fighting","Fire,Psychic,Flying,Ice,Poison,Fairy"
Slakoth,"Slakoth's heart beats just once a minute. Whatever happens, it is content to loaf around motionless. It is rare to see this Pokémon in motion.","2' 07""",52.9 lbs,,Slacker,Truant,Normal,Fighting
Vigoroth,"Vigoroth is simply incapable of remaining still. Even when it tries to sleep, the blood in its veins grows agitated, compelling this Pokémon to run wild throughout the jungle before it can settle down.","4' 07""",102.5 lbs,,Wild Monkey,Vital Spirit,Normal,Fighting
Slaking,"Wherever Slaking live, rings of over a yard in diameter appear in grassy fields. They are made by the Pokémon as it eats all the grass within reach while lying prone on the ground.","6' 07""",287.7 lbs,,Lazy,Truant,Normal,Fighting
Nincada,Nincada lives underground. It uses its sharp claws to carve the roots of trees and absorb moisture and nutrients. This Pokémon can't withstand bright sunlight so avoids it.,"1' 08""",12.1 lbs,,Trainee,Compound Eyes,"Bug,Ground","Fire,Water,Flying,Ice"
Ninjask,"If Ninjask is not trained properly, it will refuse to obey the Trainer and cry loudly continuously. Because of this quality, this Pokémon is said to be one that puts the Trainer's abilities to the test.","2' 07""",26.5 lbs,,Ninja,Speed Boost,"Bug,Flying","Fire,Flying,Electric,Ice,Rock"
Shedinja,Shedinja is a peculiar Pokémon. It seems to appear unsought in a Poké Ball after a Nincada evolves. This bizarre Pokémon is entirely immobile—it doesn't even breathe.,"2' 07""",2.6 lbs,"
    Unknown
                ",Shed,Wonder Guard,"Bug,Ghost","Fire,Ghost,Flying,Dark,Rock"
Whismur,"Whismur is very timid. If it starts to cry loudly, it becomes startled by its own crying and cries even harder. When it finally stops crying, the Pokémon goes to sleep, all tired out.","2' 00""",35.9 lbs,,Whisper,Soundproof,Normal,Fighting
Loudred,"Loudred shouts while stamping its feet. After it finishes shouting, this Pokémon becomes incapable of hearing anything for a while. This is considered to be a weak point.","3' 03""",89.3 lbs,,Big Voice,Soundproof,Normal,Fighting
Exploud,Exploud communicates its feelings to the others by emitting whistle-like sounds from the tubes on its body. This Pokémon only raises its voice when it is in battle.,"4' 11""",185.2 lbs,,Loud Noise,Soundproof,Normal,Fighting
Makuhita,There's a rumor of a traditional recipe for stew that Trainers can use to raise strong Makuhita.,"3' 03""",190.5 lbs,,Guts,Guts,Fighting,"Psychic,Flying,Fairy"
Hariyama,Hariyama that are big and fat aren't necessarily strong. There are some small ones that move nimbly and use moves skillfully.,"7' 07""",559.5 lbs,,Arm Thrust,Guts,Fighting,"Psychic,Flying,Fairy"
Azurill,"Azurill's tail is large and bouncy. It is packed full of the nutrients this Pokémon needs to grow. Azurill can be seen bouncing and playing on its big, rubbery tail.","0' 08""",4.4 lbs,,Polka Dot,Thick Fat,"Normal,Fairy","Steel,Poison"
Nosepass,It hunts without twitching a muscle by pulling in its prey with powerful magnetism. But sometimes it pulls natural enemies in close.,"3' 03""",213.8 lbs,,Compass,Sturdy,Rock,"Water,Steel,Grass,Fighting,Ground"
Skitty,"Skitty is known to chase around playfully after its own tail. In the wild, this Pokémon lives in holes in the trees of forests. It is very popular as a pet because of its adorable looks.","2' 00""",24.3 lbs,,Kitten,Cute Charm,Normal,Fighting
Delcatty,"Delcatty sleeps anywhere it wants without keeping a permanent nest. If other Pokémon approach it as it sleeps, this Pokémon will never fight—it will just move away somewhere else.","3' 07""",71.9 lbs,,Prim,Cute Charm,Normal,Fighting
Sableye,Materials from gems it has eaten float to the surface of its body and can form an infinite number of patterns among individuals.,"1' 08""",24.3 lbs,,Darkness,Keen Eye,"Dark,Ghost",Fairy
Mawile,"It has two mouths. The big jaws on the back of its head can't taste anything, so that's the mouth it uses to eat foods it doesn't like.","2' 00""",25.4 lbs,,Deceiver,Intimidate,"Steel,Fairy","Fire,Ground"
Aron,"Aron has a body of steel. With one all-out charge, this Pokémon can demolish even a heavy dump truck. The destroyed dump truck then becomes a handy meal for the Pokémon.","1' 04""",132.3 lbs,,Iron Armor,Rock Head,"Steel,Rock","Water,Fighting,Ground"
Lairon,"Lairon feeds on iron contained in rocks and water. It makes its nest on mountains where iron ore is buried. As a result, the Pokémon often clashes with humans mining the iron ore.","2' 11""",264.6 lbs,,Iron Armor,Rock Head,"Steel,Rock","Water,Fighting,Ground"
Aggron,"Aggron is protective of its environment. If its mountain is ravaged by a landslide or a fire, this Pokémon will haul topsoil to the area, plant trees, and beautifully restore its own territory.","6' 11""",793.7 lbs,,Iron Armor,Rock Head,"Steel,Rock","Water,Fighting,Ground"
Meditite,Meditite heightens its inner energy through meditation. It survives on just one berry a day. Minimal eating is another aspect of this Pokémon's training.,"2' 00""",24.7 lbs,,Meditate,Pure Power,"Fighting,Psychic","Ghost,Fairy,Flying"
Medicham,"Through the power of meditation, Medicham developed its sixth sense. It gained the ability to use psychokinetic powers. This Pokémon is known to meditate for a whole month without eating.","4' 03""",69.4 lbs,,Meditate,Pure Power,"Fighting,Psychic","Ghost,Fairy,Flying"
Electrike,Static electricity builds up all over its body as strands of its long fur rub together. This Pokémon boasts incredible speed.,"2' 00""",33.5 lbs,,Lightning,Static,Electric,Ground
Manectric,"It stimulates its own muscles with electricity, so it can move quickly. It eases its soreness with electricity, too, so it can recover quickly as well.","4' 11""",88.6 lbs,,Discharge,Static,Electric,Ground
Plusle,"When Plusle is cheering on its partner, it flashes with electric sparks from all over its body. If its partner loses, this Pokémon cries loudly.","1' 04""",9.3 lbs,,Cheering,Plus,Electric,Ground
Minun,"Minun loves to cheer on its partner in battle. It gives off sparks from its body while it is doing so. If its partner is in trouble, this Pokémon gives off increasing amounts of sparks.","1' 04""",9.3 lbs,,Cheering,Minus,Electric,Ground
Volbeat,"Volbeat's tail glows like a lightbulb. With other Volbeat, it uses its tail to draw geometric shapes in the night sky. This Pokémon loves the sweet aroma given off by Illumise.","2' 04""",39.0 lbs,,Firefly,Swarm,Bug,"Fire,Flying,Rock"
Illumise,Illumise leads a flight of illuminated Volbeat to draw signs in the night sky. This Pokémon is said to earn greater respect from its peers by composing more complex designs in the sky.,"2' 00""",39.0 lbs,,Firefly,Tinted Lens,Bug,"Fire,Flying,Rock"
Roselia,"On extremely rare occasions, a Roselia is said to appear with its flowers in unusual colors. The thorns on this Pokémon's head contain a vicious poison.","1' 00""",4.4 lbs,,Thorn,Poison Point,"Grass,Poison","Fire,Psychic,Flying,Ice"
Gulpin,Most of Gulpin's body is made up of its stomach—its heart and brain are very small in comparison. This Pokémon's stomach contains special enzymes that dissolve anything.,"1' 04""",22.7 lbs,,Stomach,Liquid Ooze,Poison,"Psychic,Ground"
Swalot,"Swalot has no teeth, so what it eats, it swallows whole, no matter what. Its cavernous mouth yawns widely. An automobile tire could easily fit inside this Pokémon's mouth.","5' 07""",176.4 lbs,,Poison Bag,Liquid Ooze,Poison,"Psychic,Ground"
Carvanha,"With its sturdy jaws and fangs, it can easily chomp wooden boats to splinters. It fights with Basculin over food.","2' 07""",45.9 lbs,,Savage,Rough Skin,"Water,Dark","Fairy,Grass,Electric,Fighting,Bug"
Sharpedo,It drinks in seawater and jets it from its rear to propel itself. It's very sensitive to the scent of blood.,"5' 11""",195.8 lbs,,Brutal,Rough Skin,"Water,Dark","Fairy,Grass,Electric,Fighting,Bug"
Wailmer,"Due to their memories of when they once lived on land, pods of them will, very rarely, wash up on shore.","6' 07""",286.6 lbs,,Ball Whale,Oblivious,Water,"Grass,Electric"
Wailord,"When a small Wailmer is attacked by Sharpedo or Dhelmise, its whole pod works together to protect it.","47' 07""",877.4 lbs,,Float Whale,Oblivious,Water,"Grass,Electric"
Numel,"Numel stores magma of almost 2,200 degrees Fahrenheit within its body. If it gets wet, the magma cools and hardens. In that event, the Pokémon's body grows heavy and its movements become sluggish.","2' 04""",52.9 lbs,,Numb,Oblivious,"Fire,Ground","Water,Ground"
Camerupt,The humps on Camerupt's back are formed by a transformation of its bones. They sometimes blast out molten magma. This Pokémon apparently erupts often when it is enraged.,"6' 03""",485.0 lbs,,Eruption,Magma Armor,"Fire,Ground","Water,Ground"
Torkoal,"It burns coal to produce energy. When it has burned through all of its coal, it becomes unable to move.","1' 08""",177.3 lbs,,Coal,White Smoke,Fire,"Water,Ground,Rock"
Spoink,Spoink keeps a pearl on top of its head. The pearl functions to amplify this Pokémon's psychokinetic powers. It is therefore on a constant search for a bigger pearl.,"2' 04""",67.5 lbs,,Bounce,Own Tempo,Psychic,"Ghost,Dark,Bug"
Grumpig,"Grumpig uses the black pearls on its body to wield its fantastic powers. When it is doing so, it dances bizarrely. This Pokémon's black pearls are valuable as works of art.","2' 11""",157.6 lbs,,Manipulate,Own Tempo,Psychic,"Ghost,Dark,Bug"
Spinda,"Each Spinda's spot pattern is different. With its stumbling movements, it evades opponents' attacks brilliantly!","3' 07""",11.0 lbs,,Spot Panda,Tangled Feet,Normal,Fighting
Trapinch,"It builds nests that double as traps, lying in wait for its prey to get caught. When night falls, it digs itself a spot beneath the sand to sleep.","2' 04""",33.1 lbs,,Ant Pit,Arena Trap,Ground,"Water,Grass,Ice"
Vibrava,It vibrates its wings to send out odd sound waves. Trainers who are with it need earplugs.,"3' 07""",33.7 lbs,,Vibration,Levitate,"Ground,Dragon","Fairy,Ice,Dragon"
Flygon,People continue to have their hearts stolen by its enchanting songs and find themselves stranded in the desert.,"6' 07""",180.8 lbs,,Mystic,Levitate,"Ground,Dragon","Fairy,Ice,Dragon"
Cacnea,"The more arid and harsh the environment, the more pretty and fragrant a flower Cacnea grows. This Pokémon battles by wildly swinging its thorny arms.","1' 04""",113.1 lbs,,Cactus,Sand Veil,Grass,"Fire,Flying,Ice,Poison,Bug"
Cacturne,"If a traveler is going through a desert in the thick of night, Cacturne will follow in a ragtag group. The Pokémon are biding their time, waiting for the traveler to tire and become incapable of moving.","4' 03""",170.6 lbs,,Scarecrow,Sand Veil,"Grass,Dark","Ice,Fire,Flying,Poison,Fighting,Fairy,Bug"
Swablu,"Swablu loves to make things clean. If it spots something dirty, it will wipe and polish it with its cottony wings. If its wings become dirty, this Pokémon finds a stream and showers itself.","1' 04""",2.6 lbs,,Cotton Bird,Natural Cure,"Normal,Flying","Electric,Ice,Rock"
Altaria,Altaria sings in a gorgeous soprano. Its wings are like cotton clouds. This Pokémon catches updrafts with its buoyant wings and soars way up into the wild blue yonder.,"3' 07""",45.4 lbs,,Humming,Natural Cure,"Dragon,Flying","Fairy,Dragon,Ice,Rock"
Zangoose,"Zangoose usually stays on all fours, but when angered, it gets up on its hind legs and extends its claws. This Pokémon shares a bitter rivalry with Seviper that dates back over generations.","4' 03""",88.8 lbs,,Cat Ferret,Immunity,Normal,Fighting
Seviper,Seviper's swordlike tail serves two purposes—it slashes foes and douses them with secreted poison. This Pokémon will not give up its long-running blood feud with Zangoose.,"8' 10""",115.7 lbs,,Fang Snake,Shed Skin,Poison,"Psychic,Ground"
Lunatone,"Lunatone becomes active around the time of the full moon. Instead of walking, it moves by floating in midair. The Pokémon's intimidating red eyes cause all those who see it to become transfixed with fear.","3' 03""",370.4 lbs,"
    Unknown
                ",Meteorite,Levitate,"Rock,Psychic","Steel,Ghost,Water,Dark,Grass,Bug,Ground"
